Title,Active?,Employer,Activity,App Status
New Application,Phone call 139 days ago,Wegmans (https://www.notion.so/Wegmans-28da82b0b61780739a6beee068fe57e0?pvs=21),,Done
Paychex Sys Design,Scheduling 152 days ago,"Paychex (https://www.notion.so/Paychex-277a82b0b6178089b97bd727828ac8e6?pvs=21), SurePayroll (https://www.notion.so/SurePayroll-277a82b0b617809a927cd36becca865c?pvs=21)",,Done
Carestream,Rejected 173 days ago,Carestream (https://www.notion.so/Carestream-26ca82b0b617801484f5e30119da5000?pvs=21),,Done
Senior CX/UX Strategist,,Duracell (https://www.notion.so/Duracell-223a82b0b61780099a8ee7be1b104739?pvs=21),,Done
Senior Prod Designer,no application,AthenaHealth (https://www.notion.so/AthenaHealth-1d8a82b0b617807c993ad51720d3a2b2?pvs=21),,Done
Zillow/FUB,no application,Zillow (https://www.notion.so/Zillow-1a6a82b0b617801e832bda0851685a9b?pvs=21),,Disqualified
test,no application,,,Not started
"Sr. Design Program Manager, AI Commerce",no application,Paypal (https://www.notion.so/Paypal-223a82b0b61780bc8f0eded2ad7d1410?pvs=21),,Disqualified
UX Content Strategist (US Only - up to 18 months),no application,Albertsons (https://www.notion.so/Albertsons-223a82b0b6178008a32dd9148125c587?pvs=21),,Disqualified
Sr Product Designer,no application,Principal (https://www.notion.so/Principal-225a82b0b61780fbb192c31dabbf0528?pvs=21),,Disqualified
Pittsford,,,,Done
Teachergeek/Doodleface,,"Teachergeek (https://www.notion.so/Teachergeek-25da82b0b61780ae82ebebdec705ed24?pvs=21), Doodleface (https://www.notion.so/Doodleface-25da82b0b61780b3ac26e8fedef4747f?pvs=21)",,Done
,no application,,,Applying
Johns Hopkins,,Johns Hopkins (https://www.notion.so/Johns-Hopkins-1a1a82b0b617806fb4d5c9a0d70c50ca?pvs=21),,Applying
U of R Web Specialist II,no application,U of R (https://www.notion.so/U-of-R-26ca82b0b617809cb739f4e527c04f6a?pvs=21),,Not started
frog,no application,frog (https://www.notion.so/frog-26ba82b0b61780cd98acc1495d1ee35b?pvs=21),,Disqualified
QuidelOrtho Technical Communications Specialist II,,,,Done
User Experience Lead - Talent Innovation & Solutions,,Deloitte (https://www.notion.so/Deloitte-223a82b0b617802bb39ac68db586050a?pvs=21),,Done
Senior Design Manager,,USP (https://www.notion.so/USP-24fa82b0b6178098970fe2d361ba7e5b?pvs=21),,Done
omada,,Omada (https://www.notion.so/Omada-1a8a82b0b617800eb572c1637c97791e?pvs=21),,Done
"Senior Director, User Experience",,Eagleview (https://www.notion.so/Eagleview-223a82b0b61780b8b032e36a078e3e48?pvs=21),,Done
Senior UX Designer,,Eagleview (https://www.notion.so/Eagleview-223a82b0b61780b8b032e36a078e3e48?pvs=21),,Done
"Manager, Experience Researcher",no application,Deloitte (https://www.notion.so/Deloitte-223a82b0b617802bb39ac68db586050a?pvs=21),,Not started
SUNY Contract,no application,,,Not started
Dupe me!,no application,,,Not started
Dupe me!,no application,,,Not started
Dupe me!,no application,,,Not started
Oracle,no application,Oracle (https://www.notion.so/Oracle-1a7a82b0b61780f186b6e3fad8378f0f?pvs=21),,Done
Wegmans,no application,,,Done
Citi,no application,,,Done
Upwork,no application,,,Done
Nordstrom,no application,,,Done
atmosfy,no application,,,Done
Hubspot,no application,,,Done
NYS,no application,,,Done
Trimark,no application,,,Done
State Street,no application,,,Done
New App,no application,,,Not started
Guide,no application,,,Not started
